token	normalised
pculo	pculo
.	.
amoreuretemporauis;	amoreuretem
adefsasione	adefsasione
iusticie	iusticie
⁊	et
ũitatis	ueritatis
ñ	non
flectitur	flectitur
.	.
sedqͣs	sedquas
sthodie	sthodie
.	.
quianimam	quianimam
suam	suam
ponat	ponat
pro	pro
ouib;	ouibus
suis	suis
:	:
cadita	cadita
s	s
ella	ella
uicini	uicini
.	.
⁊	et
multis	multis
unt	unt
qui	qui
releuanteam	releuanterim
:	:
piclitatur	piclitatur
anima	anima
ꝓximi	proximi
.	.

⁊	et
ñ	non
est	est
qui	qui
s	s
ubleueeam	ubleueeam
exomnib;	exomnibus
caris	caris
suis	suis
.	.
cũtam	cuntam
em᷒	emus
.	.
sicut	sicut
ex	ex
scͥpturis	scripturis
instruimur	instruimur
.	.
bongemagis	bongemagis
animam	animam
ꝓximi	proximi
.	.
quam	quam
corpus	corpus
ꝓpͥum	proprium
dilig̃e	diligere
teneam᷑	teneamur
.	.
uenob̃	uenobicite
gͥ	igitur
qͥ	qui
cure	cure
pastoralis	pastoralis
officuim	officuim
suscepimus	suscepimus

.	.
si	si
subsilentiolatentes	subsilentiolater
.	.
aĩarum	animarum
piculo	piculo
nõ	non
obuiam᷒	obuiamus
:	:
simdie	simdie
dñi	domini
in	in
preliostare	preliostare
.	.
⁊	et
ex	ex
adũso	aduerso
ascendere	ascendere
.	.
sideniq;	sidenique
murum	murum
.	.
ꝓdomo	prodomo
dñi	domini
nos	nos
oppoñe	opponse
ñ	non
curam᷒	curamus
.	.
timendum	timendum
nob̃	nobis
ꝓculdubio	proculdubio
.	.
nesanguinẽ	nesanguinem
aĩarũ	animarum

demanunr̃a	demanuntera
requirat	requirat
domin᷒	dominus
⁊	et
tanto	tanto
districti᷒	districtius
abeo	abeo
ĩfuturo	infuturo
iudicemur	iudicemur
:	:
qͣnto	quanto
nunc	nunc
paticntie	paticntie
⁊	et
lorganimitatis	lorganimitatis
ip̃ius	ipsius
ĩ	in
memores	memores
.	.
sine	sine
fru᷒	fruus
ctu	ctu
lo	lo
cum	cum
p̃lationis	prelationis
occupam᷒	occupamus
.	.
si	si
quidem	quidem
ficulne	ficulne
asterilis	asterilis
.	.
inutilit̃tͣram	inutilitertaram
occupans	occupans
.	.

succidi	succidi
ĩussa	inussa
ẽ	est
.	.
⁊	et
om̃is	omnis
arbor	arbor
que	que
ñ	non
fecerit	fecerit
fructum	fructum
bonũ	bonum
.	.
exqꝛdet᷑	exqueder
⁊	et
ĩiguem	iniguem
mittet᷑	mittetur
.	.
sicut	sicut
aũ	autem
ꝓ	pro
pastores	pastores
eccl̃ie	ecclesie
p̃latos	prelatos
:	:
sicꝑ	sicet
oues	oues
:	:
eoꝝ	eorum
sudditos	sudditos
Ꝯuenient̃	nuenienter
ĩtelligimis	intelligimis
.	.
uñ	unde
ꝓsalmista	prosalmista

ait	ait
.	.
nos	nos
autem	autem
populustuus	populustuus
.	.
⁊	et
ouẽ	ouem
pascue	pascue
Ꝯfitebi	cfitebi
murtibi	murtibi
in	in
secula	secula
.	.
sũͣtitaq;	sumantitaque
subditi	subditi
.	.
oues	oues
.	.
ꝑ	per
ĩnocentiã	innocentiam
⁊	et
simplicitatẽ	simplicitatem
:	:
.	.
sint	sint
oues	oues
.	.
:	:
ꝓbonoꝝ	probonorum
oꝑum	operum
fructificationẽ	fructificationem
.	.
sũit	suerit
deniq;	denique

oues	oues
ille	ille
.	.
de	de
quib;	quibus
ip̃e	ipse
dominus	dominus
ait	ait
.	.
Ques	Ques
me	me
ẽ	est
uocem	uocem
meam	meam
audiunt	audiunt
.	.
⁊	et
ego	ego
domin᷒	dominus
agnos	agnos
coeas	coeas
:	:
qꝛ	qui
reuera	reuera
.	.
qͥ	qui
nuc̃	nucis
mandatis	mandatis
eius	eius
obadiunt	obadiunt
pĩ	pum
t̃nam	ternam
aspirationẽ	aspirationem
:	:
hos	hos

ip̃e	ipse
agnoscit	agnoscit
.	.
ꝑ	per
et̃a	etera
euite	euite
pre	pre
destinationẽ	destinationem
.	.
uñ	unde
deꝑfecto	deperfecto
uiro	uiro
dicit᷑	dicitur
.	.
nonite	nonite
exnomine	exnomine
.	.
i	i
.	.
approbaui	approbaui
.	.
ĩ	in
met̃na	meterna
p̃destinatione	predestinatione
.	.
Et	Et
propͥas	proprias
oues	oues
ĩ	in
quit	quit
.	.
uocat	uocat
nominatĩ	nominatim
:	:
⁊	et

uaditant	uaditant
ellas	ellas
ascerint᷑	ascerintur
eñ	enim
.	.
ppͥas	poptas
o	o
ue	ue
sc̃omi᷒	sanctominus
hominat	hominat
ĩ	in
uocat	uocat
.	.
cum	cum
nomina	nomina
eletorum	eletorum
suoꝝ	suorum
.	.
llibro	llibro
uite	uite
celestis	celestis
annotat	annotat
:	:
⁊	et
uaditañeas	uaditanereas
.	.
⁊	et
secunt᷑	secuntur
einm	einm
.	.
c̃	cetera
quo	quo
ip̃e	ipse
p̃cessit᷑	precessitur
ĩ	in

gl̃iam	gloriam
sẽ	sem
prt̃nam	pretentam
eos	eos
miscd̃iter	misericordiam
inducit	inducit
.	.
ad	ad
qͣm	quam
gl̃am	gloriam
nos	nos
inducere	inducere
.	.
deducere	deducere
⁊	et
ꝑducere	perducere
dignetur	dignetur
.	.
idem	idem
dñs	dominus
nr̃	noster
ih̃c	ihne
xp̃c	Christi
:	:
cui᷒	cuius
regnũ	regnum
⁊	et
impium	impium
ꝓmanet	promanet
ĩ	in
secula	secula
seculorumi	seculorumi
.	.
amen	amen
lectulum	lectulum

salomonis	salomonis
fortes	fortes
ambiunt	ambiunt
.	.
ex	ex
fortissimisis	fortissimisis
rl̃	rlalis
lomnestenentes	lomnestenentes
gladios	gladios
⁊	et
ad	ad
bella	bella
doctissimi	doctissimi
:	:
uni᷒	unius
cui᷒q;	cuiusque
ensis	ensis
suꝑfemur	superfemur
suum	suum
.	.
ꝓptertimores	proptertimores
nocturnos	nocturnos
.	.
salomonilleqͣndam	salomonillequandam
sapientissimus	sapientissimus
.	.
qui	qui
ñ	non
dũitiarũ	dumitiarum
muititudinẽ	muititudinem
.	.
neclongitudinẽ	neclongitudinem
dierũ	dierum
.	.
s;	sed

sapientiam	sapientiam
da	da
dño	domino
petũt	petunt
.	.
⁊	et
longecet̃is	longeceteris
excellenti᷒	excellentius
accepit	accepit
.	.
qui	qui
rerum	rerum
naturas	naturas
subtilit̃	subtiliter
ĩ	in
uestigans	uestigans
.	.
acedroq̃	acedroque
est	est
inlibano	inlibano
.	.
usq;	usque
ad	ad
osoꝑum	osoperum
q̃e	que
greditur	greditur
de	de
pariete	pariete
.	.
senem	senem
disputationis	disputationis
sueꝮtexuit	suertexuit
:	:
uidens	uidens
in	in

spũ	spum
eccl̃iam	ecclesiam
ut	ut
castroꝝ	castrorum
aciemodinatam	aciemodinatam
.	.
rectoꝝ	rectorum
sp̃a	spiritu
lrũ	lrum
sollicitudinesimulac	sollicitulicesimim
fortitudine	fortitudine
roborandã	roborandam
:	:
ait	ait
ĩ	in
canticis	canticis
.	.
Enlectulũ	Enlectulum
salomonis	salomonis
.	.
fortes	fortes
ambiunt	ambiunt
.	.
ĩ	in
quib;	quibus
ũbistam	uerbistam
p̃latorum	prelatorum
qͣm	quam
subditoꝝ	subditorum
statum	statum
ꝓulchresatis	proulchresatis
deꝑingit	deperingit
⁊	et
ordinat	ordinat
:	:

quib;	quibus
etiam	etiam
armisidem	armisidem
prelati	prelati
in	in
defensionẽ	defensionem
subditorum	subditorum
Ꝯtras	ttras
piritales	piritales
ne	ne
quitias	quitias
munirs	munirs
debeant	debeant
:	:
in	in
fineei᷒	fineeius
demiclausuleluculent̃	demiclausunt
insinuat	insinuat
.	.
ctrecte	ctrecte
prelato	prelato
secl̃ie	seculie
fortes	fortes
appellat	appellat
:	:
fortes	fortes
enĩ	enim
funt	funt
mulriplici	mulriplici
fortitudinec̃i	fortitudineci
qͥ	qui
d̃	de
fortes	fortes
suntpdilectionem	suntpiclectionem
:	:

fortes	fortes
pero	pero
pationem	pationem
.	.
fortes	fortes
Ꝯt᷑diabolice	cturdiabolice
fraudis	fraudis
inlguã	inlguam
suggestionem	suggestionem
:	:
fortes	fortes
deñq;	denumque
ad	ad
sustinendã	sustinendam
inpetientia	inpetientia
s	s
uꝑ	uper
audã	audam
:	:
liene	liene
malicie	malicie
pͣuitatem	prauitatem
.	.
hortes	hortes
sunt	sunt
ꝑ	per
dilectionẽ	dilectionem
:	:
sic̃	sicut
enĩ	enim
uirsapiens	uirsapiens
ait	ait
.	.
sortis	sortis
ut	ut

mors	mors
dileitio	dileitio
quenec	quenec
temporalis	temporalis
adũsitatis	aduersitatis
fuam	fuam
gitur	gitur
molestia	molestia
:	:
nect̃	necter
rene	rene
ꝓspitatis	prospitatis
felicitate	felicitate
dissoluit᷑	dissoluitur
.	.
s;	sed
celestib;	celestibus
semperintentagaudiis	semperintentag
.	.
int̃	inter
adũsa	aduersa
⁊	et
ꝓspastabilis	prospastabilis
.	.
in	in
deficiens	deficiens
.	.
⁊	et
ĩ	in
Ꝯcussa	ccussa
ꝓsistit	prosistit
.	.
quia	quia
sicutapl̃c	sicutapulc
si	si

ue	ue
ꝓphetie	prophetie
eua	eua
cuabunt᷑	cuabuntur
.	.
siuelin	siuelin
guecessa	guecessa
br̃	brater
.	.
siuc	siuc
sc̃ia	sancti
destruet᷑	destruetur
:	:
caritas	caritas
nũ	num
qͣm	quam
excidit	excidit
.	.
fortẽ	fortem
in	in
dilectione	dilectione
paulus	paulus
apl̃c	apostolus
se	se
cognouit	cognouit
.	.
cũ	cum
diceret	diceret
:	:
certus	certus
sum	sum
.	.
qꝛneq;	quinδum
mors	mors
.	.

neq;	neque
uita	uita
.	.
neq;	neque
instantia	instantia
.	.
neq;	neque
fut᷑aneq;	futuraneque
angl̃i	angeli
.	.
neq;	neque
pͥncipatus	principatus
.	.
neq;	neque
potestates	potestates
.	.
neq;	neque
uirtutes	uirtutes
.	.
neq;	neque
fortitudo	fortitudo
.	.
neq;	neque
altitis	altitis
co	co
.	.
neq;	neque
ꝓfundum	profundum
.	.
neq;	neque
creatur	creatur
aalia	aalia
poterit	poterit
nos	nos
separarea	separarea

caritate	caritate
xp̃i	Christi
.	.
fortes	fortes
etiam	etiam
in	in
dilectione	dilectione
sebeati	sebeati
martire	martire
sostende	sostende
.	.
runt	runt
.	.
qui	qui
corpora	corpora
sua	sua
ꝓpt̃	propter
dmtradide	dmaradide
.	.
rt̃	runt
ad	ad
supplicia	supplicia
.	.
⁊	et
minas	minas
iudicum	iudicum
ñ	non
metuentes	metuentes
.	.
ferrum	ferrum
.	.
ignem	ignem
.	.
⁊	et
gladiũ	gladium

.	.
ĩ	in
uincibl̃	uincibul
mentis	mentis
Ꝯstantia	cstantia
suꝑ	super
auerũt	auerunt
.	.
quorũ	quorum
exitus	exitus
licet	licet
int̃tor	intertor
mentauisus	mentauisus
sit	sit
despicabilis	despicabilis
:	:
inueniet᷑tam̃	inuenieturtam
in	in
laudem	laudem
⁊	et
gl̃iam	gloriam
ĩtemporeretͥbutionis	intemporeretris
.	.
De	De
istoꝝ	istorum
fortitudinebeat᷑	fortitudinebeutur
.	.
mentionẽ	mentionem
faciens	faciens
.	.
in	in
qͥdam	quidam
locosicait	locosicait
.	.
Qlecti	Qlecti

inquite	inquite
arnem	arnem
domant	domant
spmroborant	spmroborant
:	:
uirtutib;	uirtutibus
corus	corus
cant	cant
.	.
pͥsentia	prisentia
despiciunt	despiciunt
.	.
et̃nam	eternam
uitam	uitam
uocib;	uocibus
⁊	et
morib;	moribus
p̃dicant	predicant
.	.
⁊	et
ad	ad
eã	eam
qͣm	quam
morientes	morientes
ditigunt	ditigunt
:	:
ꝑtingereꝑtor	pertingereptor
menta	menta
Ꝯtendunt	ntendunt
.	.
Occidipossunt	Occidipossunt
:	:
s;	sed
flecti	flecti
nequennt	nequennt

.	.
Eccemirabilis	Eccemirabilis
fortitudo	fortitudo
dilectionis	dilectionis
.	.
porro	porro
p̃lati	prelati
eccl̃ie	ecclesie
fortesst᷑	fortessurunt
ꝑ	per
oꝑatõnem	operationem
:	:
ip̃i	ipsi
enĩ	enim
st̃	sunt
qui	qui
manũ	manum
suam	suam
mittũt	mittunt
ad	ad
fortia	fortia
.	.
qui	qui
induunt	induunt
fortitudinẽ	fortitudinem
.	.
⁊	et
p̃c	prictur
ingunt	ingunt
se	se
uirtute	uirtute
.	.
quiñ	quindo
effeminatis	effeminatis
moribus	moribus

sectant᷑	sectantur
Ꝯcia	ncia
:	:
nec	nec
ĩ	in
forostantes	forostantes
ociosi	ociosi
repunt᷑	repuntur
.	.
s;	sed
ul̃	ue
ut	ut
o	o
parii	parii
fortes	fortes
.	.
des	des
dendunt	dendunt
mare	mare
ĩnauib;	innauibus
.	.
facientes	facientes
opatiomem	opatiomem
ĩa	ina
quis	quis
mutis	mutis
.	.
D᷒	Dui
est	est
pardlidas	pardlidas
gllicitudine	gllicitudine
gruh̃	gruhit
pante	pante
dͣlias	darlias
.	.

que	que
fluctib;	fluctibus
hui᷒	huius
seculi	seculi
quatiunt᷑	quatiuntur
.	.
⁊	et
exemplosimulacdoctrina	exemplosimrina
:	:
fructi	fructi
ficant	ficant
in	in
popl̃is	populis
.	.
Ip̃i	Ipsi
sunt	sunt
qui	qui
oꝑant᷑	operantur
Ꝯsilio	esilio
manuũ	manuum
suarũ	suarum
.	.
hoc	hoc
estacͥtionũ	estacritionum
discretione	discretione
disponunt᷑	disponuntur
:	:
qui	qui
sp̃m	spiritum
ñmͥ	nomini
Ꝯsilus	esilus
;	;
⁊	et
fortitudinis	fortitudinis
acepert̃	aceperunt

.	.
qui	qui
fortitudinem	fortitudinem
suam	suam
ñ	non
mundo	mundo
.	.
s;	sed
dño	domino
custodiunt	custodiunt
:	:
qui	qui
deniq;	denique
spantes	spantes
ĩ	in
eo	eo
.	.
qͥ	qui
fortis	fortis
⁊	et
potensest	potensest
inp̃lio	inperuio
:	:
subsignis	subsignis
eius	eius
cõstantermilitant	constanterm
.	.
⁊	et
post	post
uirtutum	uirtutum
.	.
certamina	certamina
.	.
palmã	palmam
uictorie	uictorie

feliciteras	feliciteras
secunt᷑	secuntur
.	.
fortes	fortes
etiam	etiam
sunt	sunt
prelati	prelati
eccl̃ie	ecclesie
Ꝯtradiabolice	ttradiabolice
fraudis	fraudis
ĩi	ini
quam	quam
suggestionẽ	suggestionem
:	:
ñ	non
enĩ	enim
ignoranta	ignoranta
sucias	sucias
ei᷒	eius
.	.
qui	qui
hostis	hostis
humanigeñis	humanigensis
.	.
⁊	et
ĩ	in
saciabilis	saciabilis
homicida	homicida
.	.
sedet	sedet
ĩ	in
insidiis	insidiis
.	.
uͭ	ut
interficiat	interficiat

ĩnocentẽ	innocentem
.	.
⁊	et
inmunita	inmunita
queꝙ	queque
;	;
curiose	curiose
ꝑlustrans	perlustrans
.	.
modotam	modotam
qͣfurĩ	quafurim
nocte	nocte
uenit	uenit
.	.
ut	ut
furet᷑	furetur
.	.
⁊	et
mactet	mactet
ꝙdperdat	qudpperdat
:	:
mͥuelut	miruelut
serpens	serpens
callidus	callidus
frndulentis	frndulentis
deceptionũ	deceptionum
sibilis	sibilis
.	.
m̃tes	mentes
subũtit	subuntit
ĩpuidas	impuidas
:	:
⁊	et
sub	sub
sp̃e	spirite

recti	recti
.	.
plerum	plerum
ct̃	cum
falsa	falsa
suggerit	suggerit
.	.
modo	modo
uͦ	uero
ͭ	t
seuiens	seuiens
ĩ	in
apto	apto
.	.
⁊	et
ad	ad
p̃dam	predam
paratus	paratus
:	:
tanqͦ	tanquo
leorugiens	leorugiens
circuit	circuit
qͣrens	quarens
quem	quem
deuoret	deuoret
.	.
contra	contra
multiplices	multiplices
hui᷒	huius
mͣͦitẽptationũ	maroritemptationum
laq̃os	laques
.	.
beatus	beatus
petrus	petrus
apl̃c	apostolus

uigilantes	uigilantes
⁊	et
cͥcum	cricum
spectos	spectos
eẽ	esse
nos	nos
ã	antiphona
mones	mones
:	:
ait	ait
.	.
fratressobriiestote	fratressobri
⁊	et
uigilate	uigilate
.	.
ꝙꝛadũsatius	quamaduns
uest̃	uestrum
diabl̃s	diabulus
.	.
tanqͣl	tanqual
corugiens	corugiens
:	:
cuc	cuc
uit	uit
q̃	que
rens	rens
quẽ	quem
deuoret	deuoret
.	.
Et	Et
recte	recte
subiungit	subiungit
.	.
cuiresistite	cuiresistite
fortes	fortes

ĩfideuidelicet	infideuidelicet
.	.
utor	utor
dine	dine
Ꝯuenienti	nuenienti
.	.
fortitus	fortitus
do	do
fortudine	fortudine
deludat᷑	deludatur
:	:
sapient	sapient
:	:
auincat	auincat
malitiãs	malitians
⁊	et
illũ	illum
forte	forte
mã	man
matum	matum
.	.
qui	qui
in	in
pacecusdditatrlum	pacecusdiitat
suũ	suum
.	.
uincat	uincat
fortioꝝ	fortiorum
supueniens	supueniens
:	:
⁊	et
arma	arma
ei᷒	eius
auferat	auferat
iñ	inde

qͥb;	quibus
confidebat	confidebat
:	:
⁊	et
spolia	spolia
ip̃i᷒	ipsius
distribuat	distribuat
.	.
paulus	paulus
etiama	etiama
postolus	postolus
Ꝯtradiabolice	ttradiabolice
fraudis	fraudis
ĩidiasuos	inidiasuos
Ꝯfortans	cfortans
.	.
induit	induit
eiqͥtarmat	eiquitarmat

